skupina_diagnoz;kod_hlavnej_diagnozy;nazov_hlavnej_diagnozy
Skupina onkologických diagnóz 30;c182;Zhubný nádor vzostupnej časti hrubého čreva
Skupina onkologických diagnóz 30;c183;Zhubný nádor pečeňového ohybu hrubého čreva
Skupina onkologických diagnóz 30;c184;Zhubný nádor priečnej časti hrubého čreva
Skupina onkologických diagnóz 30;c222;Hepatoblastóm
Skupina onkologických diagnóz 30;c223;Angiosarkóm pečene
Skupina onkologických diagnóz 30;c224;Iný sarkóm pečene
Skupina onkologických diagnóz 30;c23;Zhubný nádor žlčníka
Skupina onkologických diagnóz 30;c248;Zhubný nádor žlčových ciest presahujúci viaceré oblasti
Skupina onkologických diagnóz 30;c258;Zhubný nádor podžalúdkovej žľazy presahujúci viaceré oblasti
Skupina onkologických diagnóz 30;c64;Zhubný nádor obličky okrem obličkovej panvičky
Skupina onkologických diagnóz 30;c65;Zhubný nádor obličkovej panvičky
Skupina onkologických diagnóz 30;c785;Sekundárny zhubný nádor hrubého čreva a konečníka
Skupina onkologických diagnóz 30;c787;Sekundárny zhubný nádor pečene a vnútropečeňových žlčovodov
Skupina onkologických diagnóz 30;c790;Sekundárny zhubný nádor obličky a obličkovej panvičky
Skupina onkologických diagnóz 31;c15-;Zhubný nádor pažeráka
Skupina onkologických diagnóz 31;c16-;Zhubný nádor žalúdka
Skupina onkologických diagnóz 32;c17-;Zhubný nádor tenkého čreva
Skupina onkologických diagnóz 32;c18-;Zhubný nádor hrubého čreva
Skupina onkologických diagnóz 32;c19;Zhubný nádor rektosigmoidového spojenia hrubého čreva
Skupina onkologických diagnóz 33;c48-;Zhubný nádor retroperitonea a peritonea
Skupina onkologických diagnóz 33;c66;Zhubný nádor močovodu
Skupina onkologických diagnóz 33;c67-;Zhubný nádor močového mechúra
Skupina onkologických diagnóz 33;c688;Zhubný nádor močových orgánov presahujúci viaceré oblasti
Skupina onkologických diagnóz 33;d302;Nezhubný nádor močovodu
Skupina onkologických diagnóz 34;c170;Zhubný nádor dvanástnika
Skupina onkologických diagnóz 34;c171;Zhubný nádor jejúna
Skupina onkologických diagnóz 34;c172;Zhubný nádor ilea
Skupina onkologických diagnóz 34;c18-;Zhubný nádor hrubého čreva
Skupina onkologických diagnóz 34;c19;Zhubný nádor rektosigmoidového spojenia hrubého čreva
Skupina onkologických diagnóz 34;c20;Zhubný nádor konečníka
Skupina onkologických diagnóz 34;c784;Sekundárny zhubný nádor tenkého čreva
Skupina onkologických diagnóz 34;c785;Sekundárny zhubný nádor hrubého čreva a konečníka
Skupina onkologických diagnóz 35;c16-;Zhubný nádor žalúdka
Skupina onkologických diagnóz 35;c17-;Zhubný nádor tenkého čreva
Skupina onkologických diagnóz 35;d131;Nezhubný nádor žalúdka
Skupina onkologických diagnóz 36;c17-;Zhubný nádor tenkého čreva
Skupina onkologických diagnóz 36;c18-;Zhubný nádor hrubého čreva
Skupina onkologických diagnóz 37;c180;Zhubný nádor slepého čreva
Skupina onkologických diagnóz 37;c181;Zhubný nádor červovitého prívesku slepého čreva
Skupina onkologických diagnóz 37;c182;Zhubný nádor vzostupnej časti hrubého čreva
Skupina onkologických diagnóz 37;c183;Zhubný nádor pečeňového ohybu hrubého čreva
Skupina onkologických diagnóz 37;c785;Sekundárny zhubný nádor hrubého čreva a konečníka
Skupina onkologických diagnóz 37;d12-;Nezhubný nádor hrubého čreva, konečníka, anusu a análneho kanála
Skupina onkologických diagnóz 38;c184;Zhubný nádor priečnej časti hrubého čreva
Skupina onkologických diagnóz 38;c185;Zhubný nádor slezinového ohybu hrubého čreva
Skupina onkologických diagnóz 38;c186;Zhubný nádor zostupnej časti hrubého čreva
Skupina onkologických diagnóz 38;c187;Zhubný nádor esovitej časti hrubého čreva
Skupina onkologických diagnóz 38;c785;Sekundárny zhubný nádor hrubého čreva a konečníka
Skupina onkologických diagnóz 38;d12-;Nezhubný nádor hrubého čreva, konečníka, anusu a análneho kanála
Skupina onkologických diagnóz 39;c15-;Zhubný nádor pažeráka
Skupina onkologických diagnóz 39;c34-;Zhubný nádor priedušiek a pľúc
Skupina onkologických diagnóz 39;c780;Sekundárny zhubný nádor pľúc
Skupina onkologických diagnóz 4;c15-;Zhubný nádor pažeráka
Skupina onkologických diagnóz 4;c16-;Zhubný nádor žalúdka
Skupina onkologických diagnóz 4;c17-;Zhubný nádor tenkého čreva
Skupina onkologických diagnóz 4;c18-;Zhubný nádor hrubého čreva
Skupina onkologických diagnóz 4;c19;Zhubný nádor rektosigmoidového spojenia hrubého čreva
Skupina onkologických diagnóz 4;c20;Zhubný nádor konečníka
Skupina onkologických diagnóz 4;c21-;Zhubný nádor anusu a análneho kanála
Skupina onkologických diagnóz 4;c22-;Zhubný nádor pečene a vnútropečeňových žlčových ciest
Skupina onkologických diagnóz 4;c23;Zhubný nádor žlčníka
Skupina onkologických diagnóz 4;c24-;Zhubný nádor iných a bližšie neurčených častí žlčových ciest
Skupina onkologických diagnóz 4;c25-;Zhubný nádor podžalúdkovej žľazy
Skupina onkologických diagnóz 4;c26-;Zhubný nádor iných a nepresne určených tráviacich orgánov
Skupina onkologických diagnóz 4;c494;Zhubný nádor spojivového a mäkkého tkaniva brucha
Skupina onkologických diagnóz 4;c496;Zhubný nádor spojivového a mäkkého tkaniva trupu, bližšie neurčený
Skupina onkologických diagnóz 4;c498;Zhubný nádor spojivového a mäkkého tkaniva presahujúci viaceré oblasti
Skupina onkologických diagnóz 4;c64;Zhubný nádor obličky okrem obličkovej panvičky
Skupina onkologických diagnóz 4;c78-;Sekundárny zhubný nádor dýchacích a tráviacich orgánov
Skupina onkologických diagnóz 4;c79-;Sekundárny zhubný nádor na iných a bližšie neurčených miestach
Skupina onkologických diagnóz 40;c171;Zhubný nádor jejúna
Skupina onkologických diagnóz 40;c172;Zhubný nádor ilea
Skupina onkologických diagnóz 40;c18-;Zhubný nádor hrubého čreva
Skupina onkologických diagnóz 40;c784;Sekundárny zhubný nádor tenkého čreva
Skupina onkologických diagnóz 40;c785;Sekundárny zhubný nádor hrubého čreva a konečníka
Skupina onkologických diagnóz 40;c788;Sekundárny zhubný nádor iných a bližšie neurčených tráviacich orgánov
Skupina onkologických diagnóz 41;c66;Zhubný nádor močovodu
Skupina onkologických diagnóz 41;c67-;Zhubný nádor močového mechúra
Skupina onkologických diagnóz 41;d300;Nezhubný nádor obličky
Skupina onkologických diagnóz 41;d301;Nezhubný nádor obličkovej panvičky
Skupina onkologických diagnóz 41;d302;Nezhubný nádor močovodu
Skupina onkologických diagnóz 41;d304;Nezhubný nádor močovej rúry
Skupina onkologických diagnóz 42;c25-;Zhubný nádor podžalúdkovej žľazy
Skupina onkologických diagnóz 42;c488;Zhubný nádor retroperitonea a pobrušnice presahujúci viaceré oblasti
Skupina onkologických diagnóz 42;c494;Zhubný nádor spojivového a mäkkého tkaniva brucha
Skupina onkologických diagnóz 42;c62-;Zhubný nádor semenníka
Skupina onkologických diagnóz 42;c762;Zhubný nádor na iných a nepresne určených miestach brucha
Skupina onkologických diagnóz 43;c168;Zhubný nádor žalúdka presahujúci viaceré oblasti
Skupina onkologických diagnóz 43;c178;Zhubný nádor tenkého čreva presahujúci viaceré oblasti
Skupina onkologických diagnóz 43;c184;Zhubný nádor priečnej časti hrubého čreva
Skupina onkologických diagnóz 43;c185;Zhubný nádor slezinového ohybu hrubého čreva
Skupina onkologických diagnóz 43;c186;Zhubný nádor zostupnej časti hrubého čreva
Skupina onkologických diagnóz 43;c187;Zhubný nádor esovitej časti hrubého čreva
Skupina onkologických diagnóz 43;c258;Zhubný nádor podžalúdkovej žľazy presahujúci viaceré oblasti
Skupina onkologických diagnóz 43;c488;Zhubný nádor retroperitonea a pobrušnice presahujúci viaceré oblasti
Skupina onkologických diagnóz 43;c498;Zhubný nádor spojivového a mäkkého tkaniva presahujúci viaceré oblasti
Skupina onkologických diagnóz 43;c64;Zhubný nádor obličky okrem obličkovej panvičky
Skupina onkologických diagnóz 43;c65;Zhubný nádor obličkovej panvičky
Skupina onkologických diagnóz 43;c785;Sekundárny zhubný nádor hrubého čreva a konečníka
Skupina onkologických diagnóz 43;c787;Sekundárny zhubný nádor pečene a vnútropečeňových žlčovodov
Skupina onkologických diagnóz 43;c790;Sekundárny zhubný nádor obličky a obličkovej panvičky
Skupina onkologických diagnóz 44;c180;Zhubný nádor slepého čreva
Skupina onkologických diagnóz 44;c181;Zhubný nádor červovitého prívesku slepého čreva
Skupina onkologických diagnóz 44;c785;Sekundárny zhubný nádor hrubého čreva a konečníka
Skupina onkologických diagnóz 44;d12-;Nezhubný nádor hrubého čreva, konečníka, anusu a análneho kanála
Skupina onkologických diagnóz 45;c172;Zhubný nádor ilea
Skupina onkologických diagnóz 45;c18-;Zhubný nádor hrubého čreva
Skupina onkologických diagnóz 45;c784;Sekundárny zhubný nádor tenkého čreva
Skupina onkologických diagnóz 45;c785;Sekundárny zhubný nádor hrubého čreva a konečníka
Skupina onkologických diagnóz 46;c66;Zhubný nádor močovodu
Skupina onkologických diagnóz 46;c67-;Zhubný nádor močového mechúra
Skupina onkologických diagnóz 46;d091;Karcinóm in situ iných a bližšie neurčených močových orgánov
Skupina onkologických diagnóz 46;d303;Nezhubný nádor močového mechúra
Skupina onkologických diagnóz 47;c184;Zhubný nádor priečnej časti hrubého čreva
Skupina onkologických diagnóz 47;c785;Sekundárny zhubný nádor hrubého čreva a konečníka
Skupina onkologických diagnóz 47;d12-;Nezhubný nádor hrubého čreva, konečníka, anusu a análneho kanála
Skupina onkologických diagnóz 48;c241;Zhubný nádor ampulla Vateri
Skupina onkologických diagnóz 48;c25-;Zhubný nádor podžalúdkovej žľazy
Skupina onkologických diagnóz 48;c788;Sekundárny zhubný nádor iných a bližšie neurčených tráviacich orgánov
Skupina onkologických diagnóz 48;d135;Nezhubný nádor extrahepatálnych žlčových ciest
Skupina onkologických diagnóz 48;d137;Nezhubný nádor endokrinného pankreasu
Skupina onkologických diagnóz 49;c187;Zhubný nádor esovitej časti hrubého čreva
Skupina onkologických diagnóz 49;c785;Sekundárny zhubný nádor hrubého čreva a konečníka
Skupina onkologických diagnóz 49;d12-;Nezhubný nádor hrubého čreva, konečníka, anusu a análneho kanála
Skupina onkologických diagnóz 5;c16-;Zhubný nádor žalúdka
Skupina onkologických diagnóz 5;c17-;Zhubný nádor tenkého čreva
Skupina onkologických diagnóz 5;c18-;Zhubný nádor hrubého čreva
Skupina onkologických diagnóz 5;c19;Zhubný nádor rektosigmoidového spojenia hrubého čreva
Skupina onkologických diagnóz 5;c20;Zhubný nádor konečníka
Skupina onkologických diagnóz 5;c21-;Zhubný nádor anusu a análneho kanála
Skupina onkologických diagnóz 5;c22-;Zhubný nádor pečene a vnútropečeňových žlčových ciest
Skupina onkologických diagnóz 5;c23;Zhubný nádor žlčníka
Skupina onkologických diagnóz 5;c24-;Zhubný nádor iných a bližšie neurčených častí žlčových ciest
Skupina onkologických diagnóz 5;c25-;Zhubný nádor podžalúdkovej žľazy
Skupina onkologických diagnóz 5;c26-;Zhubný nádor iných a nepresne určených tráviacich orgánov
Skupina onkologických diagnóz 5;c494;Zhubný nádor spojivového a mäkkého tkaniva brucha
Skupina onkologických diagnóz 5;c496;Zhubný nádor spojivového a mäkkého tkaniva trupu, bližšie neurčený
Skupina onkologických diagnóz 5;c498;Zhubný nádor spojivového a mäkkého tkaniva presahujúci viaceré oblasti
Skupina onkologických diagnóz 5;c56;Zhubný nádor vaječníka
Skupina onkologických diagnóz 5;c792;Sekundárny zhubný nádor kože
Skupina onkologických diagnóz 50;c18-;Zhubný nádor hrubého čreva
Skupina onkologických diagnóz 50;c19;Zhubný nádor rektosigmoidového spojenia hrubého čreva
Skupina onkologických diagnóz 50;c785;Sekundárny zhubný nádor hrubého čreva a konečníka
Skupina onkologických diagnóz 51;c168;Zhubný nádor žalúdka presahujúci viaceré oblasti
Skupina onkologických diagnóz 51;c178;Zhubný nádor tenkého čreva presahujúci viaceré oblasti
Skupina onkologických diagnóz 51;c184;Zhubný nádor priečnej časti hrubého čreva
Skupina onkologických diagnóz 51;c185;Zhubný nádor slezinového ohybu hrubého čreva
Skupina onkologických diagnóz 51;c186;Zhubný nádor zostupnej časti hrubého čreva
Skupina onkologických diagnóz 51;c187;Zhubný nádor esovitej časti hrubého čreva
Skupina onkologických diagnóz 51;c258;Zhubný nádor podžalúdkovej žľazy presahujúci viaceré oblasti
Skupina onkologických diagnóz 51;c64;Zhubný nádor obličky okrem obličkovej panvičky
Skupina onkologických diagnóz 51;c65;Zhubný nádor obličkovej panvičky
Skupina onkologických diagnóz 51;c785;Sekundárny zhubný nádor hrubého čreva a konečníka
Skupina onkologických diagnóz 51;c787;Sekundárny zhubný nádor pečene a vnútropečeňových žlčovodov
Skupina onkologických diagnóz 51;c790;Sekundárny zhubný nádor obličky a obličkovej panvičky
Skupina onkologických diagnóz 52;c18-;Zhubný nádor hrubého čreva
Skupina onkologických diagnóz 52;c19;Zhubný nádor rektosigmoidového spojenia hrubého čreva
Skupina onkologických diagnóz 52;c20;Zhubný nádor konečníka
Skupina onkologických diagnóz 53;c20;Zhubný nádor konečníka
Skupina onkologických diagnóz 53;c488;Zhubný nádor retroperitonea a pobrušnice presahujúci viaceré oblasti
Skupina onkologických diagnóz 53;c54-;Zhubný nádor tela maternice
Skupina onkologických diagnóz 53;c55;Zhubný nádor bližšie neurčenej časti maternice
Skupina onkologických diagnóz 53;c58;Zhubný nádor placenty
Skupina onkologických diagnóz 53;d067;Karcinóm in situ inej časti krčka maternice
Skupina onkologických diagnóz 53;d069;Karcinóm in situ krčka maternice, bližšie neurčený
Skupina onkologických diagnóz 54;c18-;Zhubný nádor hrubého čreva
Skupina onkologických diagnóz 54;c785;Sekundárny zhubný nádor hrubého čreva a konečníka
Skupina onkologických diagnóz 55;c25-;Zhubný nádor podžalúdkovej žľazy
Skupina onkologických diagnóz 55;c494;Zhubný nádor spojivového a mäkkého tkaniva brucha
Skupina onkologických diagnóz 55;c788;Sekundárny zhubný nádor iných a bližšie neurčených tráviacich orgánov
Skupina onkologických diagnóz 55;d137;Nezhubný nádor endokrinného pankreasu
Skupina onkologických diagnóz 56;c241;Zhubný nádor ampulla Vateri
Skupina onkologických diagnóz 56;c25-;Zhubný nádor podžalúdkovej žľazy
Skupina onkologických diagnóz 56;c788;Sekundárny zhubný nádor iných a bližšie neurčených tráviacich orgánov
Skupina onkologických diagnóz 56;d137;Nezhubný nádor endokrinného pankreasu
Skupina onkologických diagnóz 57;c22-;Zhubný nádor pečene a vnútropečeňových žlčových ciest
Skupina onkologických diagnóz 57;c23;Zhubný nádor žlčníka
Skupina onkologických diagnóz 57;c248;Zhubný nádor žlčových ciest presahujúci viaceré oblasti
Skupina onkologických diagnóz 57;c787;Sekundárny zhubný nádor pečene a vnútropečeňových žlčovodov
Skupina onkologických diagnóz 57;d134;Nezhubný nádor pečene
Skupina onkologických diagnóz 58;c17-;Zhubný nádor tenkého čreva
Skupina onkologických diagnóz 58;c240;Zhubný nádor mimopečeňových žlčových ciest
Skupina onkologických diagnóz 58;c241;Zhubný nádor ampulla Vateri
Skupina onkologických diagnóz 58;c248;Zhubný nádor žlčových ciest presahujúci viaceré oblasti
Skupina onkologických diagnóz 58;c250;Zhubný nádor hlavy podžalúdkovej žľazy
Skupina onkologických diagnóz 59;c17-;Zhubný nádor tenkého čreva
Skupina onkologických diagnóz 59;c240;Zhubný nádor mimopečeňových žlčových ciest
Skupina onkologických diagnóz 59;c241;Zhubný nádor ampulla Vateri
Skupina onkologických diagnóz 59;c250;Zhubný nádor hlavy podžalúdkovej žľazy
Skupina onkologických diagnóz 59;d135;Nezhubný nádor extrahepatálnych žlčových ciest
Skupina onkologických diagnóz 6;c15-;Zhubný nádor pažeráka
Skupina onkologických diagnóz 6;c16-;Zhubný nádor žalúdka
Skupina onkologických diagnóz 6;c17-;Zhubný nádor tenkého čreva
Skupina onkologických diagnóz 6;c18-;Zhubný nádor hrubého čreva
Skupina onkologických diagnóz 6;c19;Zhubný nádor rektosigmoidového spojenia hrubého čreva
Skupina onkologických diagnóz 6;c20;Zhubný nádor konečníka
Skupina onkologických diagnóz 6;c494;Zhubný nádor spojivového a mäkkého tkaniva brucha
Skupina onkologických diagnóz 6;c496;Zhubný nádor spojivového a mäkkého tkaniva trupu, bližšie neurčený
Skupina onkologických diagnóz 6;c498;Zhubný nádor spojivového a mäkkého tkaniva presahujúci viaceré oblasti
Skupina onkologických diagnóz 60;c25-;Zhubný nádor podžalúdkovej žľazy
Skupina onkologických diagnóz 60;c788;Sekundárny zhubný nádor iných a bližšie neurčených tráviacich orgánov
Skupina onkologických diagnóz 60;d137;Nezhubný nádor endokrinného pankreasu
Skupina onkologických diagnóz 61;c16-;Zhubný nádor žalúdka
Skupina onkologických diagnóz 61;d131;Nezhubný nádor žalúdka
Skupina onkologických diagnóz 62;c251;Zhubný nádor tela podžalúdkovej žľazy
Skupina onkologických diagnóz 62;c252;Zhubný nádor chvosta podžalúdkovej žľazy
Skupina onkologických diagnóz 62;c253;Zhubný nádor vývodu podžalúdkovej žľazy
Skupina onkologických diagnóz 62;c254;Zhubný nádor endokrinnej časti podžalúdkovej žľazy
Skupina onkologických diagnóz 62;c257;Zhubný nádor iných častí podžalúdkovej žľazy
Skupina onkologických diagnóz 62;c258;Zhubný nádor podžalúdkovej žľazy presahujúci viaceré oblasti
Skupina onkologických diagnóz 62;c259;Zhubný nádor podžalúdkovej žľazy, bližšie neurčený
Skupina onkologických diagnóz 62;c494;Zhubný nádor spojivového a mäkkého tkaniva brucha
Skupina onkologických diagnóz 62;c788;Sekundárny zhubný nádor iných a bližšie neurčených tráviacich orgánov
Skupina onkologických diagnóz 62;d137;Nezhubný nádor endokrinného pankreasu
Skupina onkologických diagnóz 63;c182;Zhubný nádor vzostupnej časti hrubého čreva
Skupina onkologických diagnóz 63;c183;Zhubný nádor pečeňového ohybu hrubého čreva
Skupina onkologických diagnóz 63;c184;Zhubný nádor priečnej časti hrubého čreva
Skupina onkologických diagnóz 63;c185;Zhubný nádor slezinového ohybu hrubého čreva
Skupina onkologických diagnóz 63;c186;Zhubný nádor zostupnej časti hrubého čreva
Skupina onkologických diagnóz 63;c187;Zhubný nádor esovitej časti hrubého čreva
Skupina onkologických diagnóz 63;c188;Zhubný nádor hrubého čreva presahujúci viaceré oblasti
Skupina onkologických diagnóz 63;c189;Zhubný nádor hrubého čreva, bližšie neurčený
Skupina onkologických diagnóz 63;c19;Zhubný nádor rektosigmoidového spojenia hrubého čreva
Skupina onkologických diagnóz 63;c20;Zhubný nádor konečníka
Skupina onkologických diagnóz 64;c54-;Zhubný nádor tela maternice
Skupina onkologických diagnóz 64;c55;Zhubný nádor bližšie neurčenej časti maternice
Skupina onkologických diagnóz 64;c58;Zhubný nádor placenty
Skupina onkologických diagnóz 64;d067;Karcinóm in situ inej časti krčka maternice
Skupina onkologických diagnóz 64;d069;Karcinóm in situ krčka maternice, bližšie neurčený
Skupina onkologických diagnóz 65;c20;Zhubný nádor konečníka
Skupina onkologických diagnóz 65;c488;Zhubný nádor retroperitonea a pobrušnice presahujúci viaceré oblasti
Skupina onkologických diagnóz 65;c54-;Zhubný nádor tela maternice
Skupina onkologických diagnóz 65;c55;Zhubný nádor bližšie neurčenej časti maternice
Skupina onkologických diagnóz 65;c58;Zhubný nádor placenty
Skupina onkologických diagnóz 66;c17-;Zhubný nádor tenkého čreva
Skupina onkologických diagnóz 66;c240;Zhubný nádor mimopečeňových žlčových ciest
Skupina onkologických diagnóz 66;c241;Zhubný nádor ampulla Vateri
Skupina onkologických diagnóz 66;c250;Zhubný nádor hlavy podžalúdkovej žľazy
Skupina onkologických diagnóz 67;c183;Zhubný nádor pečeňového ohybu hrubého čreva
Skupina onkologických diagnóz 67;c184;Zhubný nádor priečnej časti hrubého čreva
Skupina onkologických diagnóz 67;c185;Zhubný nádor slezinového ohybu hrubého čreva
Skupina onkologických diagnóz 67;c186;Zhubný nádor zostupnej časti hrubého čreva
Skupina onkologických diagnóz 67;c187;Zhubný nádor esovitej časti hrubého čreva
Skupina onkologických diagnóz 67;c188;Zhubný nádor hrubého čreva presahujúci viaceré oblasti
Skupina onkologických diagnóz 67;c189;Zhubný nádor hrubého čreva, bližšie neurčený
Skupina onkologických diagnóz 67;c19;Zhubný nádor rektosigmoidového spojenia hrubého čreva
Skupina onkologických diagnóz 67;c20;Zhubný nádor konečníka
Skupina onkologických diagnóz 68;c25-;Zhubný nádor podžalúdkovej žľazy
Skupina onkologických diagnóz 69;c15-;Zhubný nádor pažeráka
Skupina onkologických diagnóz 7;c15-;Zhubný nádor pažeráka
Skupina onkologických diagnóz 7;c16-;Zhubný nádor žalúdka
Skupina onkologických diagnóz 7;c17-;Zhubný nádor tenkého čreva
Skupina onkologických diagnóz 7;c18-;Zhubný nádor hrubého čreva
Skupina onkologických diagnóz 7;c19;Zhubný nádor rektosigmoidového spojenia hrubého čreva
Skupina onkologických diagnóz 7;c20;Zhubný nádor konečníka
Skupina onkologických diagnóz 70;c187;Zhubný nádor esovitej časti hrubého čreva
Skupina onkologických diagnóz 70;c19;Zhubný nádor rektosigmoidového spojenia hrubého čreva
Skupina onkologických diagnóz 70;c488;Zhubný nádor retroperitonea a pobrušnice presahujúci viaceré oblasti
Skupina onkologických diagnóz 70;c494;Zhubný nádor spojivového a mäkkého tkaniva brucha
Skupina onkologických diagnóz 70;c62-;Zhubný nádor semenníka
Skupina onkologických diagnóz 70;c762;Zhubný nádor na iných a nepresne určených miestach brucha
Skupina onkologických diagnóz 71;c20;Zhubný nádor konečníka
Skupina onkologických diagnóz 71;c21-;Zhubný nádor anusu a análneho kanála
Skupina onkologických diagnóz 71;c435;Malígny melanóm trupu
Skupina onkologických diagnóz 71;c495;Zhubný nádor spojivového a mäkkého tkaniva malej panvy
Skupina onkologických diagnóz 71;d129;Nezhubný nádor anusu a análneho kanála
Skupina onkologických diagnóz 72;c178;Zhubný nádor tenkého čreva presahujúci viaceré oblasti
Skupina onkologických diagnóz 72;c187;Zhubný nádor esovitej časti hrubého čreva
Skupina onkologických diagnóz 72;c488;Zhubný nádor retroperitonea a pobrušnice presahujúci viaceré oblasti
Skupina onkologických diagnóz 72;c498;Zhubný nádor spojivového a mäkkého tkaniva presahujúci viaceré oblasti
Skupina onkologických diagnóz 72;c65;Zhubný nádor obličkovej panvičky
Skupina onkologických diagnóz 72;c785;Sekundárny zhubný nádor hrubého čreva a konečníka
Skupina onkologických diagnóz 72;c787;Sekundárny zhubný nádor pečene a vnútropečeňových žlčovodov
Skupina onkologických diagnóz 72;c790;Sekundárny zhubný nádor obličky a obličkovej panvičky
Skupina onkologických diagnóz 73;c250;Zhubný nádor hlavy podžalúdkovej žľazy
Skupina onkologických diagnóz 73;c251;Zhubný nádor tela podžalúdkovej žľazy
Skupina onkologických diagnóz 73;c252;Zhubný nádor chvosta podžalúdkovej žľazy
Skupina onkologických diagnóz 73;c64;Zhubný nádor obličky okrem obličkovej panvičky
Skupina onkologických diagnóz 73;c65;Zhubný nádor obličkovej panvičky
Skupina onkologických diagnóz 73;c74-;Zhubný nádor nadobličky
Skupina onkologických diagnóz 74;c170;Zhubný nádor dvanástnika
Skupina onkologických diagnóz 74;c171;Zhubný nádor jejúna
Skupina onkologických diagnóz 74;c172;Zhubný nádor ilea
Skupina onkologických diagnóz 74;c785;Sekundárny zhubný nádor hrubého čreva a konečníka
Skupina onkologických diagnóz 74;d130;Nezhubný nádor pažeráka
Skupina onkologických diagnóz 74;d131;Nezhubný nádor žalúdka
Skupina onkologických diagnóz 74;d132;Nezhubný nádor dvanástnika
Skupina onkologických diagnóz 75;c21-;Zhubný nádor anusu a análneho kanála
Skupina onkologických diagnóz 75;c435;Malígny melanóm trupu
Skupina onkologických diagnóz 75;c495;Zhubný nádor spojivového a mäkkého tkaniva malej panvy
Skupina onkologických diagnóz 75;d129;Nezhubný nádor anusu a análneho kanála
Skupina onkologických diagnóz 76;c170;Zhubný nádor dvanástnika
Skupina onkologických diagnóz 76;c171;Zhubný nádor jejúna
Skupina onkologických diagnóz 76;c172;Zhubný nádor ilea
Skupina onkologických diagnóz 76;c784;Sekundárny zhubný nádor tenkého čreva
Skupina onkologických diagnóz 76;d130;Nezhubný nádor pažeráka
Skupina onkologických diagnóz 76;d131;Nezhubný nádor žalúdka
Skupina onkologických diagnóz 76;d132;Nezhubný nádor dvanástnika
Skupina onkologických diagnóz 77;c488;Zhubný nádor retroperitonea a pobrušnice presahujúci viaceré oblasti
Skupina onkologických diagnóz 77;c494;Zhubný nádor spojivového a mäkkého tkaniva brucha
Skupina onkologických diagnóz 77;c495;Zhubný nádor spojivového a mäkkého tkaniva malej panvy
Skupina onkologických diagnóz 77;c62-;Zhubný nádor semenníka
Skupina onkologických diagnóz 77;c762;Zhubný nádor na iných a nepresne určených miestach brucha
Skupina onkologických diagnóz 78;c185;Zhubný nádor slezinového ohybu hrubého čreva
Skupina onkologických diagnóz 78;c186;Zhubný nádor zostupnej časti hrubého čreva
Skupina onkologických diagnóz 78;c187;Zhubný nádor esovitej časti hrubého čreva
Skupina onkologických diagnóz 78;c188;Zhubný nádor hrubého čreva presahujúci viaceré oblasti
Skupina onkologických diagnóz 78;c189;Zhubný nádor hrubého čreva, bližšie neurčený
Skupina onkologických diagnóz 78;c19;Zhubný nádor rektosigmoidového spojenia hrubého čreva
Skupina onkologických diagnóz 78;c20;Zhubný nádor konečníka
Skupina onkologických diagnóz 79;c170;Zhubný nádor dvanástnika
Skupina onkologických diagnóz 79;c24-;Zhubný nádor iných a bližšie neurčených častí žlčových ciest
Skupina onkologických diagnóz 79;c250;Zhubný nádor hlavy podžalúdkovej žľazy
Skupina onkologických diagnóz 8;c49-;Zhubný nádor iného spojivového a mäkkého tkaniva
Skupina onkologických diagnóz 8;c772;Sekundárny a bližšie neurčený zhubný nádor vnútrobrušnej lymfatickej uzliny
Skupina onkologických diagnóz 8;c78-;Sekundárny zhubný nádor dýchacích a tráviacich orgánov
Skupina onkologických diagnóz 8;c79-;Sekundárny zhubný nádor na iných a bližšie neurčených miestach
Skupina onkologických diagnóz 80;d215;Nezhubný nádor spojivového a iného mäkkého tkaniva panvy
Skupina onkologických diagnóz 80;d219;Nezhubný nádor spojivového a iného mäkkého tkaniva, bližšie neurčený
Skupina onkologických diagnóz 80;d300;Nezhubný nádor obličky
Skupina onkologických diagnóz 80;d301;Nezhubný nádor obličkovej panvičky
Skupina onkologických diagnóz 80;d302;Nezhubný nádor močovodu
Skupina onkologických diagnóz 80;d350;Nezhubný nádor nadobličky
Skupina onkologických diagnóz 81;c250;Zhubný nádor hlavy podžalúdkovej žľazy
Skupina onkologických diagnóz 81;c251;Zhubný nádor tela podžalúdkovej žľazy
Skupina onkologických diagnóz 81;c252;Zhubný nádor chvosta podžalúdkovej žľazy
Skupina onkologických diagnóz 81;c74-;Zhubný nádor nadobličky
Skupina onkologických diagnóz 82;c170;Zhubný nádor dvanástnika
Skupina onkologických diagnóz 82;c241;Zhubný nádor ampulla Vateri
Skupina onkologických diagnóz 82;c250;Zhubný nádor hlavy podžalúdkovej žľazy
Skupina onkologických diagnóz 82;c784;Sekundárny zhubný nádor tenkého čreva
Skupina onkologických diagnóz 82;d132;Nezhubný nádor dvanástnika
Skupina onkologických diagnóz 82;d137;Nezhubný nádor endokrinného pankreasu
Skupina onkologických diagnóz 83;c170;Zhubný nádor dvanástnika
Skupina onkologických diagnóz 83;c171;Zhubný nádor jejúna
Skupina onkologických diagnóz 83;c172;Zhubný nádor ilea
Skupina onkologických diagnóz 83;d130;Nezhubný nádor pažeráka
Skupina onkologických diagnóz 83;d131;Nezhubný nádor žalúdka
